YEAR,REGION,ROUND,SEED,TEAM,SCORE,O_SEED,O_NAME,O_SCORE
2002,East Regional,1,1,Maryland,85,16,Siena,70
2002,East Regional,1,8,Wisconsin,80,9,St. John's (NY),70
2002,East Regional,1,5,Marquette,69,12,Tulsa,71
2002,East Regional,1,4,Kentucky,83,13,Valparaiso,68
2002,East Regional,1,6,Texas Tech,68,11,Southern Illinois,76
2002,East Regional,1,3,Georgia,85,14,Murray State,68
2002,East Regional,1,7,North Carolina State,69,10,Michigan State,58
2002,East Regional,1,2,UConn,78,15,Hampton,67
2002,East Regional,2,1,Maryland,87,8,Wisconsin,57
2002,East Regional,2,12,Tulsa,82,4,Kentucky,87
2002,East Regional,2,11,Southern Illinois,77,3,Georgia,75
2002,East Regional,2,7,North Carolina State,74,2,UConn,77
2002,East Regional,3,1,Maryland,78,4,Kentucky,68
2002,East Regional,3,11,Southern Illinois,59,2,UConn,71
2002,East Regional,4,1,Maryland,90,2,UConn,82
2002,Midwest Regional,1,1,Kansas,70,16,Holy Cross,59
2002,Midwest Regional,1,8,Stanford,84,9,Western Kentucky,68
2002,Midwest Regional,1,5,Florida,82,12,Creighton,83
2002,Midwest Regional,1,4,Illinois,93,13,San Diego State,64
2002,Midwest Regional,1,6,Texas,70,11,Boston College,57
2002,Midwest Regional,1,3,Mississippi State,70,14,McNeese State,58
2002,Midwest Regional,1,7,Wake Forest,83,10,Pepperdine,74
2002,Midwest Regional,1,2,Oregon,81,15,Montana,62
2002,Midwest Regional,2,1,Kansas,86,8,Stanford,63
2002,Midwest Regional,2,12,Creighton,60,4,Illinois,72
2002,Midwest Regional,2,6,Texas,68,3,Mississippi State,64
2002,Midwest Regional,2,7,Wake Forest,87,2,Oregon,92
2002,Midwest Regional,3,1,Kansas,73,4,Illinois,69
2002,Midwest Regional,3,6,Texas,70,2,Oregon,72
2002,Midwest Regional,4,1,Kansas,104,2,Oregon,86
2002,South Regional,1,1,Duke,84,16,Winthrop,37
2002,South Regional,1,8,Notre Dame,82,9,Charlotte,63
2002,South Regional,1,5,Indiana,75,12,Utah,56
2002,South Regional,1,4,USC,89,13,North Carolina-Wilmington,93
2002,South Regional,1,6,University of California,82,11,Penn,75
2002,South Regional,1,3,Pitt,71,14,Central Connecticut,54
2002,South Regional,1,7,Oklahoma State,61,10,Kent State,69
2002,South Regional,1,2,Alabama,86,15,Florida Atlantic,78
2002,South Regional,2,1,Duke,84,8,Notre Dame,77
2002,South Regional,2,5,Indiana,76,13,North Carolina-Wilmington,67
2002,South Regional,2,6,University of California,50,3,Pitt,63
2002,South Regional,2,10,Kent State,71,2,Alabama,58
2002,South Regional,3,1,Duke,73,5,Indiana,74
2002,South Regional,3,3,Pitt,73,10,Kent State,78
2002,South Regional,4,5,Indiana,81,10,Kent State,69
2002,West Regional,1,1,Cincinnati,90,16,Boston University,52
2002,West Regional,1,8,UCLA,80,9,Ole Miss,58
2002,West Regional,1,5,Miami (FL),80,12,Missouri,93
2002,West Regional,1,4,Ohio State,69,13,Davidson,64
2002,West Regional,1,6,Gonzaga,66,11,Wyoming,73
2002,West Regional,1,3,Arizona,86,14,UCSB,81
2002,West Regional,1,7,Xavier,70,10,Hawaii,58
2002,West Regional,1,2,Oklahoma,71,15,UIC,63
2002,West Regional,2,1,Cincinnati,101,8,UCLA,105
2002,West Regional,2,12,Missouri,83,4,Ohio State,67
2002,West Regional,2,11,Wyoming,60,3,Arizona,68
2002,West Regional,2,7,Xavier,65,2,Oklahoma,78
2002,West Regional,3,8,UCLA,73,12,Missouri,82
2002,West Regional,3,3,Arizona,67,2,Oklahoma,88
2002,West Regional,4,12,Missouri,75,2,Oklahoma,81
2002,Final_Four,Final_Four,1,Maryland,97,1,Kansas,88
2002,Final_Four,Final_Four,2,Oklahoma,64,5,Indiana,73
2002,Final_Four,Championship,1,Maryland,64,5,Indiana,52
2003,East Regional,1,1,Oklahoma,71,16,South Carolina State,54
2003,East Regional,1,8,University of California,76,9,North Carolina State,74
2003,East Regional,1,5,Mississippi State,46,12,Butler,47
2003,East Regional,1,4,Louisville,86,13,Austin Peay,64
2003,East Regional,1,6,Oklahoma State,77,11,Penn,63
2003,East Regional,1,3,Syracuse,76,14,Manhattan,65
2003,East Regional,1,7,St. Joseph's,63,10,Auburn,65
2003,East Regional,1,2,Wake Forest,76,15,ETSU,73
2003,East Regional,2,1,Oklahoma,74,8,University of California,65
2003,East Regional,2,12,Butler,79,4,Louisville,71
2003,East Regional,2,6,Oklahoma State,56,3,Syracuse,68
2003,East Regional,2,10,Auburn,68,2,Wake Forest,62
2003,East Regional,3,1,Oklahoma,65,12,Butler,54
2003,East Regional,3,3,Syracuse,79,10,Auburn,78
2003,East Regional,4,1,Oklahoma,47,3,Syracuse,63
2003,Midwest Regional,1,1,Kentucky,95,16,IUPUI,64
2003,Midwest Regional,1,8,Oregon,58,9,Utah,60
2003,Midwest Regional,1,5,Wisconsin,81,12,Weber State,74
2003,Midwest Regional,1,4,Dayton,71,13,Tulsa,84
2003,Midwest Regional,1,6,Missouri,72,11,Southern Illinois,71
2003,Midwest Regional,1,3,Marquette,72,14,Holy Cross,68
2003,Midwest Regional,1,7,Indiana,67,10,Alabama,62
2003,Midwest Regional,1,2,Pitt,87,15,Wagner,61
2003,Midwest Regional,2,1,Kentucky,74,9,Utah,54
2003,Midwest Regional,2,5,Wisconsin,61,13,Tulsa,60
2003,Midwest Regional,2,6,Missouri,92,3,Marquette,101
2003,Midwest Regional,2,7,Indiana,52,2,Pitt,74
2003,Midwest Regional,3,1,Kentucky,63,5,Wisconsin,57
2003,Midwest Regional,3,3,Marquette,77,2,Pitt,74
2003,Midwest Regional,4,1,Kentucky,69,3,Marquette,83
2003,South Regional,1,1,Texas,82,16,North Carolina-Asheville,61
2003,South Regional,1,8,LSU,56,9,Purdue,80
2003,South Regional,1,5,UConn,58,12,BYU,53
2003,South Regional,1,4,Stanford,77,13,San Diego,69
2003,South Regional,1,6,Maryland,75,11,North Carolina-Wilmington,73
2003,South Regional,1,3,Xavier,71,14,Troy,59
2003,South Regional,1,7,Michigan State,79,10,Colorado,64
2003,South Regional,1,2,Florida,85,15,Sam Houston State,55
2003,South Regional,2,1,Texas,77,9,Purdue,67
2003,South Regional,2,5,UConn,85,4,Stanford,74
2003,South Regional,2,6,Maryland,77,3,Xavier,64
2003,South Regional,2,7,Michigan State,68,2,Florida,46
2003,South Regional,3,1,Texas,82,5,UConn,78
2003,South Regional,3,6,Maryland,58,7,Michigan State,60
2003,South Regional,4,1,Texas,85,7,Michigan State,76
2003,West Regional,1,1,Arizona,80,16,Vermont,51
2003,West Regional,1,8,Cincinnati,69,9,Gonzaga,74
2003,West Regional,1,5,Notre Dame,70,12,Milwaukee,69
2003,West Regional,1,4,Illinois,65,13,Western Kentucky,60
2003,West Regional,1,6,Creighton,73,11,Central Michigan,79
2003,West Regional,1,3,Duke,67,14,Colorado State,57
2003,West Regional,1,7,Memphis,71,10,Arizona State,84
2003,West Regional,1,2,Kansas,64,15,Utah State,61
2003,West Regional,2,1,Arizona,96,9,Gonzaga,95
2003,West Regional,2,5,Notre Dame,68,4,Illinois,60
2003,West Regional,2,11,Central Michigan,60,3,Duke,86
2003,West Regional,2,10,Arizona State,76,2,Kansas,108
2003,West Regional,3,1,Arizona,88,5,Notre Dame,71
2003,West Regional,3,3,Duke,65,2,Kansas,69
2003,West Regional,4,1,Arizona,75,2,Kansas,78
2003,Final_Four,Final_Four,3,Syracuse,95,1,Texas,84
2003,Final_Four,Final_Four,3,Marquette,61,2,Kansas,94
2003,Final_Four,Championship,3,Syracuse,81,2,Kansas,78
2004,Atlanta Regional,1,1,Duke,96,16,Alabama State,61
2004,Atlanta Regional,1,8,Seton Hall,80,9,Arizona,76
2004,Atlanta Regional,1,5,Illinois,72,12,Murray State,53
2004,Atlanta Regional,1,4,Cincinnati,80,13,ETSU,77
2004,Atlanta Regional,1,6,UNC,63,11,Air Force,52
2004,Atlanta Regional,1,3,Texas,66,14,Princeton,49
2004,Atlanta Regional,1,7,Xavier,80,10,Louisville,70
2004,Atlanta Regional,1,2,Mississippi State,85,15,Monmouth,52
2004,Atlanta Regional,2,1,Duke,90,8,Seton Hall,62
2004,Atlanta Regional,2,5,Illinois,92,4,Cincinnati,68
2004,Atlanta Regional,2,6,UNC,75,3,Texas,78
2004,Atlanta Regional,2,7,Xavier,89,2,Mississippi State,74
2004,Atlanta Regional,3,1,Duke,72,5,Illinois,62
2004,Atlanta Regional,3,3,Texas,71,7,Xavier,79
2004,Atlanta Regional,4,1,Duke,66,7,Xavier,63
2004,East Rutherford Regional,1,1,St. Joseph's,82,16,Liberty,63
2004,East Rutherford Regional,1,8,Texas Tech,76,9,Charlotte,73
2004,East Rutherford Regional,1,5,Florida,60,12,Manhattan,75
2004,East Rutherford Regional,1,4,Wake Forest,79,13,VCU,78
2004,East Rutherford Regional,1,6,Wisconsin,76,11,Richmond,64
2004,East Rutherford Regional,1,3,Pitt,53,14,UCF,44
2004,East Rutherford Regional,1,7,Memphis,59,10,South Carolina,43
2004,East Rutherford Regional,1,2,Oklahoma State,75,15,Eastern Washington,56
2004,East Rutherford Regional,2,1,St. Joseph's,70,8,Texas Tech,65
2004,East Rutherford Regional,2,12,Manhattan,80,4,Wake Forest,84
2004,East Rutherford Regional,2,6,Wisconsin,55,3,Pitt,59
2004,East Rutherford Regional,2,7,Memphis,53,2,Oklahoma State,70
2004,East Rutherford Regional,3,1,St. Joseph's,84,4,Wake Forest,80
2004,East Rutherford Regional,3,3,Pitt,51,2,Oklahoma State,63
2004,East Rutherford Regional,4,1,St. Joseph's,62,2,Oklahoma State,64
2004,Phoenix Regional,1,1,Stanford,71,16,UTSA,45
2004,Phoenix Regional,1,8,Alabama,65,9,Southern Illinois,64
2004,Phoenix Regional,1,5,Syracuse,80,12,BYU,75
2004,Phoenix Regional,1,4,Maryland,86,13,UTEP,83
2004,Phoenix Regional,1,6,Vanderbilt,71,11,Western Michigan,58
2004,Phoenix Regional,1,3,North Carolina State,61,14,Louisiana-Lafayette,52
2004,Phoenix Regional,1,7,DePaul,76,10,Dayton,69
2004,Phoenix Regional,1,2,UConn,70,15,Vermont,53
2004,Phoenix Regional,2,1,Stanford,67,8,Alabama,70
2004,Phoenix Regional,2,5,Syracuse,72,4,Maryland,70
2004,Phoenix Regional,2,6,Vanderbilt,75,3,North Carolina State,73
2004,Phoenix Regional,2,7,DePaul,55,2,UConn,72
2004,Phoenix Regional,3,8,Alabama,80,5,Syracuse,71
2004,Phoenix Regional,3,6,Vanderbilt,53,2,UConn,73
2004,Phoenix Regional,4,8,Alabama,71,2,UConn,87
2004,St. Louis Regional,1,1,Kentucky,96,16,Florida A&M,76
2004,St. Louis Regional,1,8,Washington,100,9,Alabama-Birmingham,102
2004,St. Louis Regional,1,5,Providence,58,12,Pacific,66
2004,St. Louis Regional,1,4,Kansas,78,13,UIC,53
2004,St. Louis Regional,1,6,Boston College,58,11,Utah,51
2004,St. Louis Regional,1,3,Georgia Tech,65,14,Northern Iowa,60
2004,St. Louis Regional,1,7,Michigan State,66,10,Nevada,72
2004,St. Louis Regional,1,2,Gonzaga,76,15,Valparaiso,49
2004,St. Louis Regional,2,1,Kentucky,75,9,Alabama-Birmingham,76
2004,St. Louis Regional,2,12,Pacific,63,4,Kansas,78
2004,St. Louis Regional,2,6,Boston College,54,3,Georgia Tech,57
2004,St. Louis Regional,2,10,Nevada,91,2,Gonzaga,72
2004,St. Louis Regional,3,9,Alabama-Birmingham,74,4,Kansas,100
2004,St. Louis Regional,3,3,Georgia Tech,72,10,Nevada,67
2004,St. Louis Regional,4,4,Kansas,71,3,Georgia Tech,79
2004,Final_Four,Final_Four,2,UConn,79,1,Duke,78
2004,Final_Four,Final_Four,2,Oklahoma State,65,3,Georgia Tech,67
2004,Final_Four,Championship,2,UConn,82,3,Georgia Tech,73
2005,Albuquerque Regional,1,1,Washington,88,16,Montana,77
2005,Albuquerque Regional,1,8,Pacific,79,9,Pitt,71
2005,Albuquerque Regional,1,5,Georgia Tech,80,12,George Washington,68
2005,Albuquerque Regional,1,4,Louisville,68,13,Louisiana-Lafayette,62
2005,Albuquerque Regional,1,6,Texas Tech,78,11,UCLA,66
2005,Albuquerque Regional,1,3,Gonzaga,74,14,Winthrop,64
2005,Albuquerque Regional,1,7,West Virginia,63,10,Creighton,61
2005,Albuquerque Regional,1,2,Wake Forest,70,15,Chattanooga,54
2005,Albuquerque Regional,2,1,Washington,97,8,Pacific,79
2005,Albuquerque Regional,2,5,Georgia Tech,54,4,Louisville,76
2005,Albuquerque Regional,2,6,Texas Tech,71,3,Gonzaga,69
2005,Albuquerque Regional,2,7,West Virginia,111,2,Wake Forest,105
2005,Albuquerque Regional,3,1,Washington,79,4,Louisville,93
2005,Albuquerque Regional,3,6,Texas Tech,60,7,West Virginia,65
2005,Albuquerque Regional,4,4,Louisville,93,7,West Virginia,85
2005,Austin Regional,1,1,Duke,57,16,Delaware State,46
2005,Austin Regional,1,8,Stanford,70,9,Mississippi State,93
2005,Austin Regional,1,5,Michigan State,89,12,Old Dominion,81
2005,Austin Regional,1,4,Syracuse,57,13,Vermont,60
2005,Austin Regional,1,6,Utah,60,11,UTEP,54
2005,Austin Regional,1,3,Oklahoma,84,14,Niagara,67
2005,Austin Regional,1,7,Cincinnati,76,10,Iowa,64
2005,Austin Regional,1,2,Kentucky,72,15,Eastern Kentucky,64
2005,Austin Regional,2,1,Duke,63,9,Mississippi State,55
2005,Austin Regional,2,5,Michigan State,72,13,Vermont,61
2005,Austin Regional,2,6,Utah,67,3,Oklahoma,58
2005,Austin Regional,2,7,Cincinnati,60,2,Kentucky,69
2005,Austin Regional,3,1,Duke,68,5,Michigan State,78
2005,Austin Regional,3,6,Utah,52,2,Kentucky,62
2005,Austin Regional,4,5,Michigan State,94,2,Kentucky,88
2005,Chicago Regional,1,1,Illinois,67,16,Fairleigh Dickinson,55
2005,Chicago Regional,1,8,Texas,57,9,Nevada,61
2005,Chicago Regional,1,5,Alabama,73,12,Milwaukee,83
2005,Chicago Regional,1,4,Boston College,85,13,Penn,65
2005,Chicago Regional,1,6,LSU,68,11,Alabama-Birmingham,82
2005,Chicago Regional,1,3,Arizona,66,14,Utah State,53
2005,Chicago Regional,1,7,Southern Illinois,65,10,Saint Mary's (CA),56
2005,Chicago Regional,1,2,Oklahoma State,63,15,Southeastern Louisiana,50
2005,Chicago Regional,2,1,Illinois,71,9,Nevada,59
2005,Chicago Regional,2,12,Milwaukee,83,4,Boston College,75
2005,Chicago Regional,2,11,Alabama-Birmingham,63,3,Arizona,85
2005,Chicago Regional,2,7,Southern Illinois,77,2,Oklahoma State,85
2005,Chicago Regional,3,1,Illinois,77,12,Milwaukee,63
2005,Chicago Regional,3,3,Arizona,79,2,Oklahoma State,78
2005,Chicago Regional,4,1,Illinois,90,3,Arizona,89
2005,Syracuse Regional,1,1,UNC,96,16,Oakland,68
2005,Syracuse Regional,1,8,Minnesota,53,9,Iowa State,64
2005,Syracuse Regional,1,5,Villanova,55,12,New Mexico,47
2005,Syracuse Regional,1,4,Florida,67,13,Ohio,62
2005,Syracuse Regional,1,6,Wisconsin,57,11,Northern Iowa,52
2005,Syracuse Regional,1,3,Kansas,63,14,Bucknell,64
2005,Syracuse Regional,1,7,Charlotte,63,10,North Carolina State,75
2005,Syracuse Regional,1,2,UConn,77,15,UCF,71
2005,Syracuse Regional,2,1,UNC,92,9,Iowa State,65
2005,Syracuse Regional,2,5,Villanova,76,4,Florida,65
2005,Syracuse Regional,2,6,Wisconsin,71,14,Bucknell,62
2005,Syracuse Regional,2,10,North Carolina State,65,2,UConn,62
2005,Syracuse Regional,3,1,UNC,67,5,Villanova,66
2005,Syracuse Regional,3,6,Wisconsin,65,10,North Carolina State,56
2005,Syracuse Regional,4,1,UNC,88,6,Wisconsin,82
2005,Final_Four,Final_Four,1,UNC,87,5,Michigan State,71
2005,Final_Four,Final_Four,4,Louisville,57,1,Illinois,72
2005,Final_Four,Championship,1,UNC,75,1,Illinois,70
2006,Atlanta Regional,1,1,Duke,70,16,Southern,54
2006,Atlanta Regional,1,8,George Washington,88,9,North Carolina-Wilmington,85
2006,Atlanta Regional,1,5,Syracuse,58,12,Texas A&M,66
2006,Atlanta Regional,1,4,LSU,80,13,Iona,64
2006,Atlanta Regional,1,6,West Virginia,64,11,Southern Illinois,46
2006,Atlanta Regional,1,3,Iowa,63,14,Northwestern State,64
2006,Atlanta Regional,1,7,University of California,52,10,North Carolina State,58
2006,Atlanta Regional,1,2,Texas,60,15,Penn,52
2006,Atlanta Regional,2,1,Duke,74,8,George Washington,61
2006,Atlanta Regional,2,12,Texas A&M,57,4,LSU,58
2006,Atlanta Regional,2,6,West Virginia,67,14,Northwestern State,54
2006,Atlanta Regional,2,10,North Carolina State,54,2,Texas,75
2006,Atlanta Regional,3,1,Duke,54,4,LSU,62
2006,Atlanta Regional,3,6,West Virginia,71,2,Texas,74
2006,Atlanta Regional,4,4,LSU,70,2,Texas,60
2006,Minneapolis Regional,1,1,Villanova,58,16,Monmouth,45
2006,Minneapolis Regional,1,8,Arizona,94,9,Wisconsin,75
2006,Minneapolis Regional,1,5,Nevada,79,12,Montana,87
2006,Minneapolis Regional,1,4,Boston College,88,13,Pacific,76
2006,Minneapolis Regional,1,6,Oklahoma,74,11,Milwaukee,82
2006,Minneapolis Regional,1,3,Florida,76,14,South Alabama,50
2006,Minneapolis Regional,1,7,Georgetown,54,10,Northern Iowa,49
2006,Minneapolis Regional,1,2,Ohio State,70,15,Davidson,62
2006,Minneapolis Regional,2,1,Villanova,82,8,Arizona,78
2006,Minneapolis Regional,2,12,Montana,56,4,Boston College,69
2006,Minneapolis Regional,2,11,Milwaukee,60,3,Florida,82
2006,Minneapolis Regional,2,7,Georgetown,70,2,Ohio State,52
2006,Minneapolis Regional,3,1,Villanova,60,4,Boston College,59
2006,Minneapolis Regional,3,3,Florida,57,7,Georgetown,53
2006,Minneapolis Regional,4,1,Villanova,62,3,Florida,75
2006,Oakland Regional,1,1,Memphis,94,16,Oral Roberts,78
2006,Oakland Regional,1,8,Arkansas,55,9,Bucknell,59
